season,rank,team,points,matches,wins,draws,losses,goals_for,goals_against,goal_difference
2004-2005,1,Benfica,65,34,18,11,5,62,31,31
2004-2005,2,Porto,62,34,17,11,6,46,28,18
2004-2005,3,Sporting CP,60,34,17,9,8,55,36,19
2004-2005,4,Braga,56,34,15,11,8,46,33,13
2004-2005,5,Boavista,53,34,14,11,9,36,30,6
2004-2005,6,Vitória Guimarães,51,34,14,9,11,40,36,4
2004-2005,7,Marítimo,50,34,13,11,10,42,37,5
2004-2005,8,Nacional,49,34,13,10,11,43,38,5
2004-2005,9,Leiria,47,34,12,11,11,39,38,1
2004-2005,10,Rio Ave,44,34,11,11,12,35,40,-5
2004-2005,11,Gil Vicente,42,34,10,12,12,34,41,-7
2004-2005,12,Académica,41,34,10,11,13,33,43,-10
2004-2005,13,Paços de Ferreira,40,34,10,10,14,31,42,-11
2004-2005,14,Vitória Setúbal,39,34,9,12,13,32,44,-12
2004-2005,15,Belenenses,38,34,8,14,12,30,38,-8
2004-2005,16,Penafiel,33,34,7,12,15,29,45,-16
2004-2005,17,Moreirense,30,34,6,12,16,28,49,-21
2004-2005,18,Beira-Mar,27,34,5,12,17,26,50,-24
2005-2006,1,Porto,76,34,22,10,2,54,19,35
2005-2006,2,Sporting CP,69,34,20,9,5,51,28,23
2005-2006,3,Benfica,64,34,18,10,6,52,26,26
2005-2006,4,Braga,58,34,16,10,8,44,33,11
2005-2006,5,Nacional,54,34,15,9,10,48,36,12
2005-2006,6,Boavista,51,34,14,9,11,39,35,4
2005-2006,7,Marítimo,48,34,12,12,10,41,38,3
2005-2006,8,Vitória Guimarães,47,34,12,11,11,40,40,0
2005-2006,9,Vitória Setúbal,45,34,11,12,11,36,38,-2
2005-2006,10,Paços de Ferreira,44,34,11,11,12,35,40,-5
2005-2006,11,Académica,42,34,10,12,12,34,41,-7
2005-2006,12,Leiria,41,34,9,14,11,32,36,-4
2005-2006,13,Rio Ave,39,34,9,12,13,31,42,-11
2005-2006,14,Belenenses,38,34,8,14,12,30,38,-8
2005-2006,15,Gil Vicente,35,34,7,14,13,28,40,-12
2005-2006,16,Estrela da Amadora,32,34,6,14,14,27,44,-17
2005-2006,17,Penafiel,28,34,5,13,16,24,46,-22
2005-2006,18,Naval,26,34,4,14,16,23,49,-26
2006-2007,1,Porto,72,30,22,6,2,60,18,42
2006-2007,2,Sporting CP,71,30,21,8,1,55,16,39
2006-2007,3,Benfica,61,30,18,7,5,53,27,26
2006-2007,4,Braga,50,30,14,8,8,43,32,11
2006-2007,5,Nacional,44,30,12,8,10,39,35,4
2006-2007,6,Leiria,42,30,11,9,10,35,33,2
2006-2007,7,Paços de Ferreira,41,30,11,8,11,31,32,-1
2006-2007,8,Belenenses,39,30,10,9,11,30,36,-6
2006-2007,9,Marítimo,38,30,10,8,12,32,39,-7
2006-2007,10,Vitória Setúbal,37,30,9,10,11,28,35,-7
2006-2007,11,Boavista,35,30,8,11,11,26,33,-7
2006-2007,12,Naval,34,30,8,10,12,29,40,-11
2006-2007,13,Vitória Guimarães,33,30,8,9,13,27,38,-11
2006-2007,14,Académica,32,30,7,11,12,25,37,-12
2006-2007,15,Estrela da Amadora,26,30,5,11,14,22,44,-22
2006-2007,16,Gil Vicente,22,30,4,10,16,21,47,-26
2007-2008,1,Porto,69,30,20,9,1,57,17,40
2007-2008,2,Sporting CP,66,30,19,9,2,51,20,31
2007-2008,3,Vitória Guimarães,52,30,14,10,6,40,28,12
2007-2008,4,Benfica,48,30,13,9,8,47,32,15
2007-2008,5,Braga,47,30,13,8,9,39,30,9
2007-2008,6,Marítimo,45,30,12,9,9,37,30,7
2007-2008,7,Leiria,43,30,11,10,9,34,32,2
2007-2008,8,Nacional,42,30,11,9,10,38,36,2
2007-2008,9,Setúbal,38,30,9,11,10,29,34,-5
2007-2008,10,Académica,37,30,9,10,11,30,36,-6
2007-2008,11,Paços de Ferreira,35,30,8,11,11,28,37,-9
2007-2008,12,Naval,33,30,8,9,13,27,40,-13
2007-2008,13,Belenenses,32,30,7,11,12,26,38,-12
2007-2008,14,Boavista,31,30,6,13,11,25,36,-11
2007-2008,15,Estrela da Amadora,28,30,5,13,12,23,39,-16
2007-2008,16,Desportivo das Aves,21,30,4,9,17,19,45,-26
2008-2009,1,Porto,76,30,23,7,0,58,15,43
2008-2009,2,Sporting CP,59,30,17,8,5,48,25,23
2008-2009,3,Benfica,58,30,17,7,6,54,27,27
2008-2009,4,Braga,49,30,14,7,9,38,29,9
2008-2009,5,Nacional,48,30,13,9,8,45,34,11
2008-2009,6,Leiria,45,30,12,9,9,38,34,4
2008-2009,7,Marítimo,42,30,11,9,10,35,33,2
2008-2009,8,Vitória Guimarães,41,30,11,8,11,34,36,-2
2008-2009,9,Vitória Setúbal,39,30,10,9,11,31,35,-4
2008-2009,10,Académica,38,30,9,11,10,30,34,-4
2008-2009,11,Paços de Ferreira,36,30,9,9,12,28,37,-9
2008-2009,12,Naval,34,30,8,10,12,27,39,-12
2008-2009,13,Belenenses,32,30,7,11,12,25,38,-13
2008-2009,14,Rio Ave,30,30,6,12,12,24,40,-16
2008-2009,15,Trofense,26,30,5,11,14,22,42,-20
2008-2009,16,Estrela da Amadora,18,30,3,9,18,18,50,-32
2009-2010,1,Benfica,76,30,23,7,0,78,20,58
2009-2010,2,Braga,71,30,21,8,1,55,17,38
2009-2010,3,Porto,64,30,19,7,4,60,24,36
2009-2010,4,Sporting CP,59,30,17,8,5,50,28,22
2009-2010,5,Nacional,46,30,12,10,8,40,33,7
2009-2010,6,Marítimo,44,30,11,11,8,36,31,5
2009-2010,7,Vitória Guimarães,43,30,11,10,9,35,33,2
2009-2010,8,Leiria,40,30,10,10,10,32,35,-3
2009-2010,9,Naval,39,30,10,9,11,31,36,-5
2009-2010,10,Académica,38,30,9,11,10,30,35,-5
2009-2010,11,Vitória Setúbal,36,30,8,12,10,28,34,-6
2009-2010,12,Rio Ave,34,30,8,10,12,27,38,-11
2009-2010,13,Olhanense,33,30,7,12,11,26,37,-11
2009-2010,14,Paços de Ferreira,32,30,7,11,12,25,38,-13
2009-2010,15,Belenenses,28,30,5,13,12,22,40,-18
2009-2010,16,Leixões,23,30,4,11,15,19,45,-26
2010-2011,1,Porto,84,30,27,3,0,73,16,57
2010-2011,2,Benfica,68,30,21,5,4,59,22,37
2010-2011,3,Braga,56,30,16,8,6,48,27,21
2010-2011,4,Sporting CP,51,30,14,9,7,47,30,17
2010-2011,5,Nacional,44,30,12,8,10,40,36,4
2010-2011,6,Marítimo,43,30,11,10,9,37,33,4
2010-2011,7,Vitória Guimarães,42,30,11,9,10,36,35,1
2010-2011,8,Rio Ave,40,30,10,10,10,33,34,-1
2010-2011,9,Vitória Setúbal,38,30,9,11,10,31,35,-4
2010-2011,10,Paços de Ferreira,37,30,9,10,11,30,36,-6
2010-2011,11,Académica,35,30,8,11,11,28,37,-9
2010-2011,12,Olhanense,34,30,8,10,12,27,38,-11
2010-2011,13,Leiria,32,30,7,11,12,26,40,-14
2010-2011,14,Portimonense,30,30,6,12,12,24,41,-17
2010-2011,15,Naval,26,30,4,14,12,22,44,-22
2010-2011,16,Arouca,22,30,4,10,16,20,47,-27
2011-2012,1,Porto,75,30,24,3,3,64,21,43
2011-2012,2,Benfica,66,30,20,6,4,69,26,43
2011-2012,3,Sporting CP,51,30,14,9,7,44,31,13
2011-2012,4,Braga,51,30,14,9,7,47,35,12
